3 3 3 3 4 4 3 3 3 2 2 2 2 3 3 3 2 2 3 4 5 5 5 6 7 7 8 8 7 6 6 7 7 6 5 5 5 5 5 5 5 4 4 5 5 5 5 6 6 6 7 7 7 7 7 7 8 8 9 9 10 10 11 11 11 11 11 11 10 10 10 10 10 10 10 10 11 11 11
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2 2 3 5 5 5 5 6 7 7 8 7 6 6 6 6 6 5 5 5 5 5 5 5 5 4 5 5 5 6 6 6 7 7 7 7 7 7 8 8 9 9 10 10 10 11 11 11 12 11 11 11 10 10 10 10 10 10 10 10 11 11 11
3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 2 2 4 5 5 5 5 6 7 7 7 6 6 6 6 6 5 5 5 6 6 5 5 5 5 5 5 6 6 7 7 7 7 7 7 8 8 8 8 9 9 10 10 11 11 11 12 12 12 11 11 10 10 10 10 10 10 10 10 10 11 11 11
3 3 3 3 3 3 2 3 3 3 3 3 4 4 3 3 2 3 4 5 5 5 6 6 7 7 6 5 6 6 6 5 5 5 6 6 6 6 5 5 5 6 6 7 7 7 7 8 8 8 8 8 9 9 9 10 10 10 11 11 11 12 12 12 11 11 11 10 10 10 10 10 10 10 10 10 10 11 11
3 3 3 3 2 2 2 2 2 3 4 4 4 5 4 3 4 4 5 5 6 6 6 6 7 7 6 5 5 6 6 5 6 6 6 6 6 6 6 6 6 6 7 7 8 8 8 8 8 8 9 9 9 10 10 10 11 11 11 11 12 12 12 12 11 11 10 10 10 10 10 10 10 10 10 10 10 10 11
2 2 2 2 2 2 2 2 3 3 4 4 5 5 5 4 5 5 5 5 6 6 6 7 7 6 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 9 9 9 9 10 10 11 11 11 11 12 12 12 12 12 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 11
2 2 2 2 2 2 2 2 3 4 4 4 5 5 5 5 5 5 5 5 6 6 6 7 7 6 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 8 8 9 9 10 10 10 11 11 11 11 12 12 12 12 12 12 11 11 10 10 10 10 10 10 10 10 9 10 10 10 10 11
2 2 2 2 1 1 1 2 3 3 3 4 4 5 5 5 5 5 5 6 6 6 7 7 6 6 5 5 5 5 5 6 6 6 6 6 6 6 6 6 7 6 6 7 7 8 8 9 9 10 10 10 11 11 11 11 12 12 12 12 12 12 12 11 11 10 10 10 10 10 10 10 9 9 9 10 10 10 11
2 2 2 1 1 1 2 3 2 2 3 4 5 5 5 5 6 6 6 6 6 6 7 7 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 8 8 9 9 10 10 11 11 11 11 12 12 12 12 12 12 12 11 11 10 10 10 9 9 9 9 9 9 9 9 10 10 10 11
2 2 2 2 1 2 2 2 1 1 2 3 3 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 8 8 8 9 10 10 10 11 11 11 11 12 12 12 12 12 12 11 11 10 10 10 10 9 9 9 9 9 9 10 10 10 10 10
2 2 2 2 2 2 2 2 1 1 2 2 3 3 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 8 8 8 8 9 9 10 10 10 10 11 11 11 11 12 12 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
2 2 2 3 2 2 2 2 1 2 2 2 3 4 4 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 7 7 8 8 8 8 9 9 9 10 10 10 10 11 11 11 11 11 11 11 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
3 3 3 3 2 2 2 2 2 2 2 3 3 4 4 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 7 7 7 7 8 8 8 9 9 9 9 9 9 10 10 10 10 10 10 10 11 11 11 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
