0 0 0 0 0 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 3 3 2 2 1 1 1 2 1 1 1 2 3 4 4 7 4 2 1 1 2 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 0 0 0 1 0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 1 1 1 1 2 2 2 2 2 2 4 4 5 7 5 2 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 3 3 2 2 1 1 2 3 3 2 2 3 4 5 6 6 8 5 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 2 2 2 2 2 1 1 1 3 3 3 3 3 2 2 3 3 3 3 3 3 6 6 6 7 7 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 2 2 2 0 2 2 2 2 2 1 1 1 3 3 3 4 4 3 3 3 3 4 4 3 3 6 6 6 7 8 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
2 2 1 1 1 1 1 0 0 1 1 1 1 1 1 1 2 2 2 2 1 2 2 2 2 2 2 2 2 4 4 4 4 4 4 3 3 4 5 5 5 4 6 6 6 7 9 7 4 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1
2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 2 2 2 2 2 2 2 2 2 4 5 5 4 4 4 4 3 4 4 6 5 5 6 6 6 7 8 8 5 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1
2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 3 2 2 1 4 5 5 5 5 4 4 4 4 3 4 5 6 7 6 7 6 6 7 7 8 5 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1
2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 3 2 3 5 5 5 5 4 4 4 4 4 4 4 6 7 7 7 6 6 6 5 7 8 5 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 1
2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 3 3 2 4 6 5 5 5 4 4 4 4 5 5 4 5 8 8 7 6 6 6 5 6 8 6 3 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1
2 2 2 2 2 2 2 2 2 1 1 1 2 1 1 1 2 2 1 1 1 2 2 2 2 3 1 4 6 6 5 5 5 4 4 3 4 5 5 4 3 8 8 8 7 6 6 5 5 8 6 3 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1
2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 2 2 1 1 1 2 2 2 3 2 5 6 6 5 4 4 5 5 4 3 4 4 4 3 2 7 7 8 7 6 6 6 6 7 7 5 1 0 0 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1
2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 1 1 1 2 2 3 3 4 6 6 5 5 5 4 4 5 4 4 4 4 4 3 2 5 7 8 7 6 6 6 7 7 6 6 2 0 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1
2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 2 2 2 1 1 2 2 3 3 5 6 6 5 5 5 4 4 4 4 4 4 4 3 3 2 2 4 9 7 7 6 6 6 5 5 6 5 5 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1
2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 3 4 4 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 3 2 3 3 8 7 6 4 6 6 6 6 4 4 5 2 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 2 3 3 4 3 3 3 3 2 3 3 3 3 3 3 4 4 4 4 4 4 4 3 3 1 7 6 5 5 4 3 3 5 4 4 3 4 0 1 1 2 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2 2 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 3 3 3 3 3 3 3 3 2 3 3 3 3 3 4 4 4 4 4 4 5 5 3 2 2 5 3 4 4 6 4 4 4 4 3 3 2 0 1 1 2 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 2 2 2 2 2 2 1 1 1 1 1 1 1 2 2 3 3 3 4 3 3 3 3 2 2 2 3 3 3 3 3 3 4 4 5 5 5 5 5 3 2 4 7 3 2 5 5 5 3 3 3 3 1 1 1 2 2 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 3 4 4 4 4 3 2 2 2 2 2 2 2 2 2 2 2 3 4 5 5 5 5 5 5 4 2 2 7 3 5 3 3 3 4 3 2 2 1 1 1 2 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 1 1 3 4 5 5 4 4 3 3 2 2 2 1 1 1 2 2 1 1 1 2 3 4 5 5 5 6 6 5 5 3 3 8 4 4 3 4 4 4 3 2 2 1 1 1 2 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 1 2 3 4 4 4 4 4 3 3 2 2 1 1 1 1 1 1 1 1 1 1 2 3 4 4 4 4 5 6 5 5 4 4 8 6 3 4 4 3 3 3 1 1 2 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 2 3 3 4 4 4 4 4 3 2 2 1 1 1 1 1 1 0 0 1 0 2 3 4 4 4 5 5 5 5 5 5 4 5 7 6 4 4 4 4 3 3 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 0 2 2 2 4 4 5 4 3 3 2 1 1 1 1 1 1 1 1 1 1 1 3 4 5 7 6 6 6 6 6 6 5 5 5 6 4 4 4 4 4 3 2 2 2 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 1 1 2 1 2 3 4 4 4 3 3 2 1 1 1 1 2 2 2 2 1 1 2 4 5 5 5 6 7 7 6 5 5 5 5 4 5 3 4 5 4 4 4 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 0 1 1 1 0 2 5 4 4 4 3 2 1 1 1 1 1 1 1 2 1 1 3 5 5 5 4 1 3 4 2 3 3 4 3 3 3 4 4 4 6 5 5 5 3 3 1 1 1 1 1 1 1 1 1 1 1 2 1 0 1 0 0 1 1 1 1 1 1 1 1 1
1 1 1 1 1 1 0 1 2 2 2 2 4 5 5 5 5 4 2 1 2 1 1 0 0 1 1 1 1 3 5 5 5 6 4 3 4 3 2 1 1 1 1 2 4 4 3 6 7 6 5 4 3 3 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 0 0 1 1 1 1 1 1 1 1
1 1 1 1 1 1 1 0 2 3 3 3 5 6 6 6 5 4 3 2 2 2 1 1 0 0 1 2 1 3 4 5 5 5 5 3 6 7 5 3 2 2 3 3 3 4 5 5 8 7 5 4 3 2 1 2 1 1 1 1 2 2 2 1 0 1 3 1 2 1 0 0 1 1 1 1 1 1 1
1 1 1 1 1 0 1 0 1 1 4 4 5 6 6 6 5 4 3 2 2 2 2 1 1 1 1 1 2 2 4 5 5 5 6 6 6 7 7 5 5 5 5 4 3 3 5 5 6 7 6 3 4 3 3 3 1 2 1 2 2 2 1 1 1 1 2 1 1 2 1 0 0 1 1 1 1 1 1
1 1 1 1 1 1 1 0 0 1 1 3 4 4 4 4 5 4 3 2 2 2 2 1 1 1 1 1 2 1 3 4 5 5 6 6 6 7 6 7 7 7 7 6 5 3 3 4 5 3 4 4 4 5 4 4 4 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 0
1 1 1 1 1 1 1 1 0 1 1 1 1 2 3 3 3 3 2 2 2 2 2 1 0 1 1 1 1 2 2 3 4 4 5 4 5 7 6 7 7 6 6 5 5 4 2 2 3 3 2 6 5 5 5 5 4 4 4 4 4 5 5 6 4 3 1 1 1 1 1 1 0 0 0 0 1 0 0
1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 0 1 1 2 2 1 1 2 3 3 3 3 6 7 6 5 5 5 5 5 5 4 3 2 1 3 2 2 6 4 5 5 5 4 4 4 5 5 4 5 7 4 2 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 1 1 1 2 1 1 1 1 2 1 2 3 2 2 4 4 4 4 4 4 4 4 4 3 1 1 4 3 7 6 4 4 4 5 5 5 5 4 4 5 7 5 3 1 1 1 1 1 1 0 0 0 0 0 0
1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 2 1 1 1 2 3 2 2 1 1 1 2 1 0 1 1 2 1 0 3 2 1 1 3 4 3 3 3 3 3 3 3 2 1 1 4 3 5 6 5 5 5 5 5 5 4 5 6 7 4 3 1 1 1 1 1 1 1 0 0 0 0 0
0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 2 1 1 1 1 2 3 2 2 1 1 1 1 1 0 1 1 1 0 1 5 4 1 1 0 3 3 2 2 2 3 3 2 2 1 2 1 2 4 4 4 7 6 6 6 5 4 5 6 6 4 2 1 1 1 1 1 1 1 1 1 0 0 0
0 0 1 1 1 1 0 0 0 1 1 1 1 2 2 2 1 1 0 1 2 3 2 2 1 0 1 1 1 1 1 1 0 0 3 3 2 2 1 0 3 3 2 2 2 3 2 2 2 1 3 1 1 2 4 3 6 6 6 7 7 6 6 6 6 4 2 1 1 1 1 1 1 1 1 1 0 0 0
0 0 0 1 1 0 0 0 1 1 1 1 1 2 1 1 1 1 0 1 2 3 3 2 1 0 1 1 1 1 1 1 1 1 1 6 2 2 2 1 3 3 2 2 2 1 1 2 3 2 2 2 1 1 1 3 3 4 6 7 7 8 7 7 6 3 2 1 2 1 2 1 1 1 1 1 1 0 0
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 1 2 3 3 1 0 1 1 2 1 1 1 1 1 0 1 3 5 6 5 5 4 3 2 1 1 2 2 3 3 2 3 4 2 2 2 1 2 4 4 6 7 7 7 6 6 5 4 5 5 4 1 1 1 1 1 1 1 0 0
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 1 0 2 3 3 1 0 0 1 2 1 1 2 1 1 1 1 2 2 2 3 3 4 3 2 1 1 2 2 3 4 3 5 4 4 2 3 2 1 2 4 4 5 6 7 6 5 7 6 6 6 6 5 1 1 1 1 1 1 0 0
0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 2 4 3 1 0 1 1 2 2 1 2 2 2 2 2 2 2 2 2 2 3 3 2 2 1 2 2 3 3 4 5 4 4 4 2 3 2 1 2 4 4 5 7 5 5 6 6 6 6 6 6 5 1 1 1 1 1 0 0
0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 2 3 1 1 1 1 2 2 2 2 2 3 2 1 2 3 3 1 2 2 2 2 2 2 2 1 2 2 3 3 4 4 4 4 4 2 2 2 2 2 3 5 4 6 5 6 6 6 7 6 5 5 2 1 1 1 1 0 0
0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 2 4 2 2 1 1 2 3 3 2 2 2 2 2 3 5 5 3 3 2 2 1 1 2 2 1 1 2 2 3 3 2 3 3 4 4 2 3 2 2 2 3 5 7 6 5 6 7 7 6 6 7 4 1 1 1 1 1 0
0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 1 1 1 1 3 4 3 1 1 1 2 3 3 3 2 2 3 5 5 5 4 4 3 3 3 2 2 0 2 2 1 2 2 2 1 1 3 4 4 4 3 3 2 2 1 2 3 6 7 7 7 7 7 6 6 7 4 1 1 1 1 0 0
0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 2 2 1 4 4 2 1 1 2 4 4 3 2 3 4 4 4 4 4 4 4 3 3 2 2 1 1 1 2 2 3 3 3 3 3 4 4 5 3 3 3 3 2 2 1 2 5 7 7 8 7 6 6 6 5 1 0 0 1 0 0
0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 1 1 1 2 2 2 5 4 3 1 2 3 4 4 3 3 3 3 3 3 4 4 4 4 3 2 2 1 1 0 1 1 1 2 3 5 4 3 4 5 4 3 3 3 3 2 3 3 2 3 4 5 7 8 7 7 7 5 1 0 0 1 0 0
0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 2 2 2 1 4 5 4 2 1 3 4 4 3 3 3 3 3 3 3 3 4 3 3 2 2 2 1 0 1 1 2 3 3 4 6 5 5 5 4 3 3 4 4 2 2 3 3 1 2 4 5 7 7 7 6 4 1 0 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 2 3 3 4 4 2 4 5 4 3 2 2 2 2 2 3 3 3 2 3 2 2 2 2 2 2 1 3 4 3 5 6 5 5 5 5 5 5 4 4 4 6 6 3 2 0 3 5 5 7 6 5 4 1 1 0 0 0 0
0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 1 0 1 1 1 0 3 4 2 4 4 4 3 2 2 1 2 2 2 3 2 2 2 2 2 2 2 1 2 3 4 4 4 3 3 5 6 6 3 3 3 3 3 4 5 5 5 4 2 0 3 3 6 6 5 3 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 4 4 1 3 4 4 3 2 1 1 2 3 2 2 2 2 2 2 2 2 1 1 4 5 4 4 4 3 3 6 6 3 2 2 2 2 2 3 3 4 5 5 2 2 2 2 3 5 3 3 1 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 0 1 3 4 3 1 3 5 4 3 1 1 2 2 2 2 2 1 1 2 2 2 2 0 2 4 3 2 2 3 4 4 3 3 2 0 2 2 2 2 3 3 3 4 4 1 1 2 2 2 4 4 3 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 1 1 1 0 2 3 4 3 1 3 4 4 2 2 1 1 1 2 2 1 0 1 1 2 2 3 2 2 1 4 3 3 2 2 2 2 2 1 1 1 0 1 1 1 2 3 3 3 1 1 2 1 1 3 5 3 2 1 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1 1 1 0 1 2 3 4 2 2 3 3 3 2 2 1 1 2 2 1 0 1 1 2 3 3 4 5 4 3 2 2 1 1 1 1 0 1 1 0 1 1 1 1 1 2 2 2 3 3 1 1 1 3 3 3 2 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 2 2 4 2 1 2 3 3 2 2 1 2 2 1 1 1 1 0 2 3 4 5 5 3 3 2 2 1 1 0 0 1 1 0 0 0 0 1 0 0 0 2 3 4 4 2 1 0 1 4 5 4 4 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 1 4 2 0 2 3 3 3 2 2 2 2 1 1 1 1 1 3 4 5 5 3 2 2 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 3 5 5 2 1 0 1 3 6 6 4 2 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 3 3 3 1 1 2 3 3 3 2 2 2 2 1 1 1 1 3 2 2 2 3 2 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 3 4 4 4 2 1 1 1 4 7 5 2 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 1 3 3 2 1 1 2 3 3 3 3 3 2 2 2 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 3 3 3 3 2 3 2 4 7 5 2 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 3 2 1 1 2 3 3 3 3 3 2 2 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 2 5 5 3 5 4 1 1 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 2 2 1 1 1 2 2 2 3 3 2 2 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 0 3 5 4 4 1 1 1 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 2 2 2 2 1 0 1 2 1 1 2 2 2 1 2 3 2 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 1 1 1 1 1 1 1 1 2 2 2 2 1 1 0 0 1 2 2 1 1 1 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 3 2 2 1 2 1 1 2 1 2 2 2 1 1 2 3 3 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 1 1 1 0 0 1 2 2 2 2 1 1 0 0 1 2 1 1 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 2 1 1 1 2 1 2 2 2 2 2 2 1 1 2 3 2 2 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 1 1 0 1 2 2 3 2 2 1 0 1 1 2 1 1 0 0 0 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 2 1 1 1 1 1 3 3 2 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 2 3 3 2 2 1 1 1 1 1 1 1 0 0 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 2 2 1 1 1 1 3 3 3 2 2 1 1 1 2 1 1 1 1 1 1 1 1 1 2 2 2 2 2 2 2 2 2 2 2 2 2 1 1 1 1 1 2 3 4 2 1 1 1 1 1 1 1 0 0 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 2 2 2 1 1 1 1 1 3 3 4 4 3 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 2 4 3 3 1 1 1 1 1 1 0 0 0 1 1 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 3 1 1 1 1 1 0 1 2 5 2 0 0 2 3 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 2 2 1 1 1 3 3 2 2 1 1 1 1 0 0 0 0 0 0 1
0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1 3 2 1 1 2 2 1 1 2 2 4 2 1 1 1 4 0 2 1 3 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1 2 2 2 2 2 2 2 1 1 2 3 2 2 1 1 1 0 0 0 0 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 3 0 2 0 2 3 2 2 2 2 3 2 1 1 3 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 2 2 2 2 2 2 1 1 1 1 1 2 2 1 1 1 1 0 0 0 1 0 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 0 1 1 1 2 1 2 3 2 4 1 1 1 3 1 2 1 2 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 2 1 3 2 0 2 3 4 5 1 0 1 1 3 1 2 2 2 2 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 2 2 3 2 2 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 0 3 3 2 1 3 5 4 2 0 1 1 0 3 1 1 3 2 2 1 1 1 1 0 0 1 1 1 1 1 1 1 1 2 2 2 2 3 2 2 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 3 2 1 1 2 2 4 1 1 0 2 1 1 1 1 3 2 1 3 4 4 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 3 2 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 2 0 1 3 3 2 1 1 4 4 1 0 1 1 1 2 1 2 2 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 3 1 1 1 3 3 1 1 1 1 0 0 0 1 1 2 1 2 3 2 2 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 2 2 2 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0
1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 4 2 1 1 3 2 1 1 1 0 0 0 0 1 1 1 2 1 3 1 3 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0
1 0 0 0 0 0 0 0 0 0 0 1 1 2 4 2 1 0 2 3 3 1 1 1 0 0 0 1 1 1 1 1 2 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 1 1 2 1 2 1 2 1 2 3 1 1 1 1 0 0 1 1 1 1 2 1 3 2 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0
0 0 0 0 0 0 0 0 0 0 1 1 1 3 1 1 1 2 2 4 1 1 1 0 0 0 1 1 1 1 1 3 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0
