5 5 5 5 5 4 4 4 4 5 5 5 5 6 5 5 5 5 6 6 6 6 6 6 6 6 5 5 4 4 4 4 4 4 4 4 4 4 3 4 4 5 5 5 6 5 5 5 3 0 2 1 3 4 5 6 6 7 7 6 6 6 7 8 8 8 8 8 7
5 5 5 5 4 3 3 3 4 4 4 5 5 5 5 5 5 5 6 6 6 6 6 6 6 5 5 5 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 4 0 0 0 2 4 4 5 6 7 7 6 6 7 7 8 8 8 8 8 8
4 5 4 4 4 3 2 2 3 3 4 4 4 5 5 5 5 5 6 6 6 6 6 6 6 5 5 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 4 0 0 1 1 3 3 4 6 7 7 6 6 7 8 8 7 8 8 8 8
4 4 4 4 4 3 3 3 3 3 3 4 4 4 4 5 5 5 5 5 5 5 6 6 6 5 5 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 4 5 5 5 4 0 0 1 1 1 1 3 5 6 7 6 6 7 8 8 7 7 8 8 8
4 4 4 4 4 4 4 3 3 3 3 4 4 4 4 5 5 5 5 5 5 5 6 6 6 6 5 4 4 4 4 4 4 4 4 4 5 5 4 5 5 5 4 4 4 5 4 4 0 0 0 3 2 1 1 3 4 6 5 6 6 6 7 7 7 7 7 7 8
3 3 3 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 6 6 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 3 4 4 0 0 5 3 1 2 4 5 6 5 6 6 6 7 7 7 7 7 7 8
3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 4 4 4 4 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 3 3 3 4 4 4 4 4 4 4 5 4 4 5 5 4 3 3 4 5 5 6 6 7 8 8 7 7 6 7 7
3 3 3 4 4 4 5 5 4 4 5 5 5 5 5 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 4 4 5 4 4 3 3 3 3 4 4 4 4 4 4 4 4 4 5 6 6 5 4 4 4 5 5 6 6 7 8 8 8 7 7 7 7
3 3 3 4 4 4 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 5 5 5 5 5 5 5 6 5 5 5 5 5 4 4 3 3 2 3 4 5 4 3 4 4 4 4 4 5 6 6 6 5 5 5 5 5 6 6 7 7 7 7 8 7 7 7
4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 5 5 5 5 5 6 6 6 5 5 5 5 5 4 3 2 3 3 5 6 5 4 4 4 5 4 5 5 6 6 7 7 6 6 5 6 6 6 6 7 7 7 7 7 7 7
4 4 4 5 5 5 5 5 5 4 4 5 5 5 5 5 5 5 4 4 4 4 4 4 5 5 5 5 6 6 6 5 5 4 3 2 2 2 3 3 3 5 6 6 4 3 4 4 5 5 6 6 6 7 7 7 7 7 7 7 7 6 6 7 7 7 7 7 7
4 5 5 5 5 5 5 5 5 4 4 4 5 5 5 5 5 5 5 5 4 4 4 4 4 5 5 6 6 6 5 5 5 5 4 3 2 2 2 3 4 5 6 6 4 3 4 4 4 5 5 6 6 6 7 7 7 7 6 6 6 6 7 7 7 7 7 7 7
5 5 5 6 6 6 6 6 4 2 2 3 4 4 4 5 4 4 4 4 5 5 5 5 5 5 5 5 5 5 4 4 4 5 5 4 4 3 2 3 4 6 6 5 3 3 3 3 3 4 5 6 6 6 7 6 6 6 6 6 6 6 6 7 7 7 7 7 7
5 5 6 6 6 6 6 5 1 1 2 3 3 4 4 4 3 3 4 4 4 5 5 5 5 5 5 5 5 5 4 3 2 3 3 4 4 4 3 3 4 6 7 3 2 2 2 3 3 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
5 6 6 7 7 6 4 1 1 1 2 2 3 3 3 3 3 3 3 4 4 4 4 5 4 4 4 4 5 4 4 4 3 3 4 4 4 4 4 3 4 5 7 3 1 3 4 4 4 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
6 6 6 6 6 6 3 1 1 1 1 2 2 2 2 3 2 2 3 3 3 3 4 4 4 4 4 4 4 4 4 4 3 3 4 5 5 3 3 3 4 5 7 4 2 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
6 6 6 6 6 5 3 1 1 1 2 2 2 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 4 4 5 3 3 3 4 5 5 5 4 3 4 5 6 5 4 5 6 6 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
6 6 6 6 5 5 4 2 1 1 2 2 2 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 6 6 5 5 4 5 5 5 6 6 5 5 6 6 5 5 5 6 6 6 7 6 6 6 6 6 6 6 6 6 6 6 6 6
6 6 6 5 5 4 4 3 2 1 1 2 2 2 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 5 4 5 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 6 6 6 5 5 6 6 6 6 7 6 6 6 6 7 6 6 6 6 6 6 6
6 5 5 5 4 4 4 4 3 2 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 4 4 4 5 5 6 6 6 7 7 7 6 6 6 6 5 6 5 5 5 5 5 5 6 5 5 5 6 6 6 6 6 6 6 6 7 7 7 7 7 7 7 6 6
5 5 5 4 4 4 4 4 3 2 2 2 1 1 1 1 1 2 2 2 2 3 3 3 3 4 4 5 5 5 5 5 5 6 7 7 7 6 6 6 6 6 5 4 5 4 5 5 5 5 5 5 6 6 7 7 6 6 6 6 7 7 7 7 7 7 7 7 6
5 5 4 4 4 4 4 4 3 3 3 2 2 2 1 1 1 1 2 2 2 2 3 3 4 4 5 5 5 4 4 4 5 5 6 6 6 6 6 6 5 5 5 4 4 4 4 5 5 5 5 5 6 6 7 7 7 6 6 7 7 7 7 7 7 7 7 7 6
5 5 4 4 5 5 4 4 3 3 3 3 3 2 2 2 2 2 2 2 2 3 3 4 4 4 4 4 5 3 3 4 4 5 5 5 5 5 5 5 5 5 4 4 4 4 4 4 5 5 5 5 5 6 7 7 8 7 7 7 7 7 7 7 7 7 7 6 6
4 5 5 5 5 5 5 4 4 4 4 3 3 3 3 2 2 2 2 2 2 3 3 3 4 4 5 4 5 4 4 4 4 4 4 4 4 3 3 4 5 5 4 4 4 4 4 4 4 4 5 5 5 6 6 6 7 7 7 7 7 7 7 7 7 7 7 6 6
4 4 5 5 5 5 5 5 4 4 4 4 3 3 3 3 3 3 3 3 3 3 4 4 5 5 5 5 5 5 5 5 4 4 4 4 4 3 3 3 5 4 4 4 4 4 4 5 5 5 5 5 5 5 5 6 6 7 7 7 7 7 7 7 7 7 6 6 6
4 4 5 5 5 5 5 5 4 4 4 4 4 3 3 3 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 4 4 3 3 3 4 4 5 6 6 5 6 6 5 5 5 5 5 5 5 6 6 7 7 7 7 7 7 7 7 6 6 6
4 4 5 5 5 5 5 5 4 4 4 4 4 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 6 6 6 5 5 5 5 5 4 4 3 4 4 5 6 6 6 6 7 6 6 5 5 5 5 5 6 6 7 7 7 7 7 7 7 7 6 6 6
4 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 3 3 3 4 4 4 4 4 4 5 5 6 6 6 6 6 6 6 5 5 5 4 3 3 3 4 5 6 7 7 7 6 6 6 6 6 6 6 6 6 7 7 7 7 7 6 6 6 6 6
5 5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 3 3 3 3 3 3 4 4 4 4 4 4 5 6 6 6 6 6 6 6 6 6 6 5 4 3 2 3 3 4 5 7 7 7 7 7 7 6 6 6 6 6 6 6 7 7 6 6 6 6 6 6 6
5 5 5 5 5 5 5 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 6 6 6 6 6 5 4 3 3 3 3 4 5 6 7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6
5 5 5 5 5 5 5 4 4 4 4 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 6 6 6 6 6 6 6 6 6 6 5 0 4 4 4 4 4 5 6 6 6 6 6 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6
5 5 5 5 5 5 5 4 4 4 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 6 6 6 6 5 5 5 4 4 4 4 5 5 6 6 6 6 6 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6
5 5 5 5 5 5 4 4 4 4 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 6 6 6 6 6 6 6 5 5 6 5 4 4 4 4 5 5 6 6 6 6 6 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6
5 5 5 5 5 5 4 4 4 4 3 3 3 4 4 4 4 4 4 4 4 4 4 4 5 5 4 5 5 5 5 6 6 6 6 6 6 6 5 6 7 6 5 4 4 4 5 6 6 6 6 6 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6
5 5 5 5 5 4 4 4 4 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 6 6 6 6 6 6 6 6 6 6 7 6 5 4 4 5 5 6 6 6 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
4 4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 5 6 6 6 6 6 6 6 6 6 6 7 7 5 4 4 4 5 6 6 6 6 6 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
4 4 4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 4 4 4 4 5 5 5 4 4 4 5 5 6 6 6 7 7 6 6 6 5 0 8 7 6 5 4 5 6 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
4 4 4 4 4 4 3 3 3 3 3 4 3 3 3 3 4 4 4 4 4 4 5 4 4 4 4 4 5 6 6 6 6 6 6 6 6 0 0 8 7 6 5 5 6 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6
4 4 4 4 4 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 5 4 4 4 4 4 5 5 5 6 6 6 5 0 4 6 6 8 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 5 6 6 6 6 6 6 6 6 6 6 6 6
4 4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 3 3 4 5 5 5 5 6 5 4 4 6 6 7 7 7 7 7 6 7 7 7 7 6 6 6 6 6 6 6 5 5 5 6 6 6 6 6 6 6 6 6 6 6
4 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 5 5 4 4 5 5 4 4 4 4 4 5 5 5 5 5 4 5 6 6 7 7 7 6 6 6 7 7 7 6 6 6 6 6 6 6 6 5 5 5 6 6 6 6 6 6 6 6 6 6 6
4 4 4 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 5 5 4 5 5 5 4 4 4 4 5 5 5 5 5 4 4 5 5 5 7 7 6 5 5 6 7 7 7 6 6 6 6 6 6 6 6 5 5 5 5 6 6 6 6 6 6 6 6 6 6
3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 5 5 5 5 5 4 4 4 5 5 5 5 5 5 5 5 5 5 5 6 7 6 5 5 6 7 7 7 6 6 6 6 6 6 6 6 6 6 5 5 5 6 6 6 6 6 6 6 6 6 5
3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 3 4 4 4 5 5 5 4 4 4 5 5 6 5 5 5 4 5 5 5 5 5 6 6 5 5 6 7 7 7 7 6 6 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5
3 3 3 3 3 3 3 3 3 3 3 3 3 4 4 3 4 4 4 5 5 4 4 4 4 5 6 6 5 5 5 4 4 5 5 5 5 5 5 4 5 6 7 6 6 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5
3 3 3 3 3 3 3 3 3 3 3 3 4 4 3 3 4 4 4 4 4 4 4 4 5 5 6 6 5 5 5 4 4 4 5 5 5 5 6 6 6 6 7 7 7 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5
3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 3 3 4 4 4 4 4 4 5 5 5 5 5 5 5 4 4 4 5 6 6 5 6 6 6 6 6 7 7 7 8 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5
3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 3 4 4 4 4 4 5 5 5 5 5 5 5 5 4 4 4 5 6 6 6 6 6 6 6 6 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5
3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 4 4 4 4 5 6 6 6 6 6 7 6 7 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5
3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 3 4 5 5 5 5 5 5 5 4 4 4 4 4 6 6 6 6 6 6 6 7 7 7 6 6 6 6 6 7 7 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5
3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 3 3 4 4 4 4 5 5 5 5 4 4 4 4 5 5 5 5 5 5 6 7 7 7 6 6 6 7 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5
3 3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 3 3 4 4 4 4 4 5 5 5 5 4 4 4 4 5 5 5 5 5 4 6 6 6 5 6 6 7 7 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 5 5
3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 3 3 3 4 4 4 4 5 5 5 4 4 4 4 4 5 6 5 5 5 4 4 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 5 5 4 4
3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 4 4 4 5 5 6 5 5 5 4 3 4 4 4 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 4 4 4 4 4
3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 4 4 4 5 5 5 6 5 5 4 4 3 4 4 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 4 4 4 4 4 4
3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 6 5 5 5 4 4 4 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 4 4 4 4 4 4
3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 4 4 4 4 4 4 4
3 3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 4 4 4 4 4 4 4 4
3 3 3 3 3 3 3 3 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 4 5 5 5 5 5 5 5 5 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 5 5 5 5 5 4 4 4 4 4 4 4 4
